review,stars
Decent place. Portion sizes were small but taste was good.,3
Decent place. Portion sizes were small but taste was good.,3
Had a nice time; dessert was fantastic.,5
Order was wrong and they didn't fix it.,1
Order was wrong and they didn't fix it.,1
The food was amazing and service was excellent. Highly recommend.,5
The food was amazing and service was excellent. Highly recommend.,5
The food was amazing and service was excellent.,5
The food was amazing and service was excellent. Highly recommend.,5
Perfect for a quick lunch. Will return.,4
Great ambiance and prompt service. Highly recommend.,5
Had a nice time; dessert was fantastic.,5
Great ambiance and prompt service. Not satisfied.,5
Terrible experience — cold food and rude staff.,1
Staff was friendly but the food was average. Not satisfied.,3
Staff was friendly but the food was average.,3
Not worth the price.,2
Terrible experience — cold food and rude staff.,1
Staff was friendly but the food was average. Could be better.,3
Not worth the price.,2
Perfect for a quick lunch. Will return. Could be better.,4
Great ambiance and prompt service.,5
Great ambiance and prompt service. Not satisfied.,5
Decent place. Portion sizes were small but taste was good.,3
Great ambiance and prompt service.,5
Great ambiance and prompt service.,5
Not worth the price. Loved it!,2
Terrible experience — cold food and rude staff.,1
The food was amazing and service was excellent.,5
Waited 45 minutes. Will not come back.,1
Perfect for a quick lunch. Will return. Loved it!,4
Staff was friendly but the food was average.,3
Great ambiance and prompt service.,5
Decent place. Portion sizes were small but taste was good. Could be better.,3
Waited 45 minutes. Will not come back.,1
Staff was friendly but the food was average.,3
Not worth the price.,2
Decent place. Portion sizes were small but taste was good.,3
Staff was friendly but the food was average.,3
Decent place. Portion sizes were small but taste was good. Not satisfied.,3
Not worth the price. Highly recommend.,2
Great ambiance and prompt service.,5
The food was amazing and service was excellent. Highly recommend.,5
Not worth the price. Loved it!,2
Great ambiance and prompt service. Loved it!,5
Perfect for a quick lunch. Will return. Could be better.,4
The food was amazing and service was excellent. Could be better.,5
Terrible experience — cold food and rude staff. Loved it!,1
Great ambiance and prompt service.,5
Waited 45 minutes. Will not come back. Loved it!,1
Order was wrong and they didn't fix it.,1
Staff was friendly but the food was average.,3
Decent place. Portion sizes were small but taste was good. Could be better.,3
Staff was friendly but the food was average. Loved it!,3
Decent place. Portion sizes were small but taste was good. Highly recommend.,3
Terrible experience — cold food and rude staff.,1
Waited 45 minutes. Will not come back.,1
Waited 45 minutes. Will not come back. Could be better.,1
Order was wrong and they didn't fix it. Could be better.,1
Waited 45 minutes. Will not come back.,1
Had a nice time; dessert was fantastic.,5
Great ambiance and prompt service.,5
Terrible experience — cold food and rude staff. Not satisfied.,1
Order was wrong and they didn't fix it.,1
Decent place. Portion sizes were small but taste was good.,3
Waited 45 minutes. Will not come back.,1
Had a nice time; dessert was fantastic.,5
Great ambiance and prompt service.,5
Great ambiance and prompt service.,5
Not worth the price. Could be better.,2
Had a nice time; dessert was fantastic. Highly recommend.,5
Decent place. Portion sizes were small but taste was good.,3
Decent place. Portion sizes were small but taste was good. Highly recommend.,3
Waited 45 minutes. Will not come back.,1
Waited 45 minutes. Will not come back.,1
Waited 45 minutes. Will not come back.,1
Had a nice time; dessert was fantastic.,5
Not worth the price.,2
Decent place. Portion sizes were small but taste was good.,3
Had a nice time; dessert was fantastic. Loved it!,5
Had a nice time; dessert was fantastic. Not satisfied.,5
Not worth the price.,2
Decent place. Portion sizes were small but taste was good. Loved it!,3
Not worth the price.,2
Terrible experience — cold food and rude staff. Not satisfied.,1
The food was amazing and service was excellent.,5
Great ambiance and prompt service. Highly recommend.,5
Staff was friendly but the food was average. Not satisfied.,3
Decent place. Portion sizes were small but taste was good.,3
Terrible experience — cold food and rude staff.,1
Not worth the price.,2
Order was wrong and they didn't fix it.,1
The food was amazing and service was excellent.,5
Not worth the price. Loved it!,2
Staff was friendly but the food was average.,3
Great ambiance and prompt service. Not satisfied.,5
Perfect for a quick lunch. Will return.,4
Terrible experience — cold food and rude staff. Not satisfied.,1
Not worth the price.,2
Waited 45 minutes. Will not come back.,1
Not worth the price. Not satisfied.,2
Great ambiance and prompt service.,5
The food was amazing and service was excellent.,5
Not worth the price.,2
Decent place. Portion sizes were small but taste was good.,3
Not worth the price. Not satisfied.,2
Decent place. Portion sizes were small but taste was good.,3
Had a nice time; dessert was fantastic.,5
Staff was friendly but the food was average.,3
Great ambiance and prompt service. Highly recommend.,5
Order was wrong and they didn't fix it.,1
Perfect for a quick lunch. Will return. Could be better.,4
Perfect for a quick lunch. Will return.,4
Waited 45 minutes. Will not come back. Not satisfied.,1
Perfect for a quick lunch. Will return.,4
Terrible experience — cold food and rude staff. Not satisfied.,1
Order was wrong and they didn't fix it. Loved it!,1
Decent place. Portion sizes were small but taste was good. Could be better.,3
Had a nice time; dessert was fantastic.,5
Waited 45 minutes. Will not come back. Could be better.,1
The food was amazing and service was excellent.,5
Decent place. Portion sizes were small but taste was good. Highly recommend.,3
Decent place. Portion sizes were small but taste was good.,3
Order was wrong and they didn't fix it. Could be better.,1
Waited 45 minutes. Will not come back.,1
Decent place. Portion sizes were small but taste was good. Not satisfied.,3
Had a nice time; dessert was fantastic.,5
The food was amazing and service was excellent.,5
Great ambiance and prompt service.,5
Not worth the price.,2
Perfect for a quick lunch. Will return.,4
The food was amazing and service was excellent. Loved it!,5
The food was amazing and service was excellent. Loved it!,5
Decent place. Portion sizes were small but taste was good.,3
Staff was friendly but the food was average.,3
Great ambiance and prompt service. Not satisfied.,5
The food was amazing and service was excellent.,5
The food was amazing and service was excellent.,5
Not worth the price. Highly recommend.,2
Terrible experience — cold food and rude staff. Loved it!,1
Perfect for a quick lunch. Will return. Loved it!,4
Waited 45 minutes. Will not come back. Not satisfied.,1
